mag_bin,asas_sn_id,index_num,index_csv,lc_dir,dat_path,g_n_peaks,g_mean_mag,g_peaks_idx,g_peaks_jd,v_n_peaks,v_mean_mag,v_peaks_idx,v_peaks_jd
12_12.5,326418063096,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/326418063096.dat,0,12.027942017543863,[],[],0,12.026933978021978,[],[]
12_12.5,292058325585,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/292058325585.dat,0,12.030336801479654,[],[],0,12.029179870967742,[],[]
12_12.5,292058328795,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/292058328795.dat,0,12.003655230046949,[],[],0,12.003425277070065,[],[]
12_12.5,292058339451,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/292058339451.dat,0,11.990382525334887,[],[],0,11.987937184663537,[],[]
12_12.5,292059059142,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/292059059142.dat,0,11.985362402439025,[],[],0,11.989002322916667,[],[]
12_12.5,292058098684,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/292058098684.dat,0,12.03716154601227,[],[],0,12.038083142465753,[],[]
12_12.5,395137810537,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/395137810537.dat,0,11.31708747536946,[],[],0,11.30816488888889,[],[]
12_12.5,292058349370,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/292058349370.dat,0,12.015469709677419,[],[],0,12.006123520689655,[],[]
12_12.5,292058548707,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/292058548707.dat,0,12.038692766367136,[],[],0,12.038680979452055,[],[]
12_12.5,292058089264,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/292058089264.dat,0,12.03009175528169,[],[],0,12.025819034985423,[],[]
12_12.5,283469134001,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/283469134001.dat,0,12.060859434561626,[],[],0,12.05925087919463,[],[]
12_12.5,326418062830,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/326418062830.dat,0,12.018404523593466,[],[],0,12.022108733333335,[],[]
12_12.5,395137782407,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/395137782407.dat,0,11.887553512048195,[],[],0,11.892491010869565,[],[]
12_12.5,395137793088,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/395137793088.dat,0,12.053573671779143,[],[],0,12.038746460732986,[],[]
12_12.5,326418062056,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/326418062056.dat,0,12.034838787301585,[],[],0,12.034618703583062,[],[]
12_12.5,283469157400,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/283469157400.dat,0,12.03074959041096,[],[],0,12.029394657342657,[],[]
12_12.5,300647765182,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/300647765182.dat,0,12.013233944201314,[],[],0,12.017774457831324,[],[]
12_12.5,283469154376,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/283469154376.dat,0,12.100659932322055,[],[],0,12.084205269113149,[],[]
12_12.5,283469157004,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/283469157004.dat,0,12.0205131856449,[],[],0,12.015836961471104,[],[]
12_12.5,292059046231,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/292059046231.dat,0,12.066620604651161,[],[],0,12.06321029380054,[],[]
12_12.5,283469159024,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/283469159024.dat,0,11.981733717528375,[],[],0,11.98675886551724,[],[]
12_12.5,300647755135,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/300647755135.dat,0,12.02340060153257,[],[],0,12.020524989932886,[],[]
12_12.5,300647754406,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/300647754406.dat,0,12.013416506343715,[],[],0,12.018736361111113,[],[]
12_12.5,300647764951,0,/data/poohbah/1/assassin/lenhart/code/calder/lcsv2_masked/12_12.5/index0_masked.csv,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal,/data/poohbah/1/assassin/rowan.90/lcsv2/12_12.5/lc0_cal/300647764951.dat,0,12.003651128630706,[],[],0,11.998400594339621,[],[]
